0,8
1,8
2,8
3,8
4,8
5,8
6,8
7,8
8,8
9,8
10,8
11,8
12,8
13,8
14,8
1,1
2,1
3,1
1,2
2,2
3,2
1,3
2,3
3,3
1,4
2,4
3,4
1,5
2,5
3,5
4,0
5,0
4,1
5,1
4,2
5,2
6,1
7,1
8,1
6,2
7,2
8,2
6,3
7,3
8,3
6,4
7,4
8,4
6,5
7,5
8,5
9,0
10,0
9,1
10,1
9,2
10,2
11,1
12,1
13,1
11,2
12,2
13,2
11,3
12,3
13,3
11,4
12,4
13,4
11,5
12,5
13,5
14,0
15,0
14,1
15,1
14,2
15,2
19,5
21,4
22,5
21,0
22,0
21,1
22,1
21,2
22,2
23,1
24,1
25,1
26,1
27,1
23,2
24,2
25,2
26,2
27,2
23,3
24,3
25,3
26,3
27,3
23,4
24,4
25,4
26,4
27,4
23,5
24,5
25,5
26,5
27,5
28,3
29,3
30,3
31,3
28,5
31,5
18,8
19,8
20,8
21,8
22,8
23,8
24,8
25,8
26,8
27,8
28,8
29,8
30,8
31,8
15,10
0,11
1,11
2,11
3,11
4,11
5,11
6,11
7,11
8,11
9,11
10,11
11,11
12,11
13,11
14,11
15,11
17,11
18,11
19,11
20,11
21,11
22,11
23,11
24,11
25,11
26,11
27,11
28,11
29,11
30,11
31,11
0,12
1,12
2,12
3,12
4,12
5,12
6,12
7,12
8,12
9,12
10,12
11,12
12,12
13,12
14,12
15,12
16,12
17,12
18,12
19,12
20,12
21,12
22,12
23,12
24,12
25,12
26,12
27,12
28,12
29,12
30,12
31,12
0,13
1,13
2,13
3,13
4,13
5,13
6,13
7,13
8,13
9,13
10,13
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
22,13
23,13
24,13
25,13
26,13
27,13
28,13
29,13
30,13
31,13
0,14
1,14
2,14
3,14
4,14
5,14
6,14
7,14
8,14
9,14
10,14
11,14
12,14
13,14
14,14
15,14
16,14
17,14
18,14
19,14
20,14
21,14
22,14
23,14
24,14
25,14
26,14
27,14
28,14
29,14
30,14
31,14
